arm,protocol,split,seed,t,block,pool,label_frac,auroc,auprc,acc,f1,pretrain_steps,pretrain_wall_s,eval_wall_s,n_encoder_params,timestamp
diffusion,probe,val,0,100,bottleneck,gap,1.0,0.87769,0.88063,0.79688,0.79365,40,18.0,0.4,4058656,2026-08-15 13:59:00
diffusion,probe,test,0,100,bottleneck,gap,1.0,0.89038,0.90876,0.80469,0.81203,40,18.0,0.4,4058656,2026-08-15 13:59:00
mae,probe,val,0,0,bottleneck,gap,1.0,0.95728,0.95611,0.88281,0.88189,40,15.1,0.3,4058656,2026-08-15 13:59:00
mae,probe,test,0,0,bottleneck,gap,1.0,0.8855,0.87959,0.80469,0.8062,40,15.1,0.3,4058656,2026-08-15 13:59:00
random,probe,val,0,0,bottleneck,gap,1.0,0.93457,0.93396,0.84375,0.83607,0,0.0,0.3,4058656,2026-08-15 13:59:00
random,probe,test,0,0,bottleneck,gap,1.0,0.89624,0.90386,0.8125,0.80645,0,0.0,0.3,4058656,2026-08-15 13:59:00
supervised-100,finetune,val,0,0,bottleneck,gap,1.0,0.92017,0.93162,0.61719,0.37975,0,0,1.0,4058656,2026-08-15 13:59:01
supervised-100,finetune,test,0,0,bottleneck,gap,1.0,0.90356,0.91496,0.625,0.4,0,0,1.0,4058656,2026-08-15 13:59:01
supervised-10,finetune,val,0,0,bottleneck,gap,0.1,0.75134,0.78176,0.5,0.0,0,0,0.2,4058656,2026-08-15 13:59:02
supervised-10,finetune,test,0,0,bottleneck,gap,0.1,0.70557,0.74236,0.5,0.0,0,0,0.2,4058656,2026-08-15 13:59:02
diffusion,probe,val,0,10,mid2,gap,1.0,0.92773,0.93946,0.84375,0.84615,40,18.0,0.3,4058656,2026-08-15 13:59:02
diffusion,probe,test,0,10,mid2,gap,1.0,0.93115,0.9404,0.85156,0.85039,40,18.0,0.3,4058656,2026-08-15 13:59:02
diffusion,probe,val,0,100,mid2,gap,1.0,0.87769,0.88063,0.79688,0.79365,40,18.0,0.3,4058656,2026-08-15 13:59:02
diffusion,probe,test,0,100,mid2,gap,1.0,0.89038,0.90876,0.80469,0.81203,40,18.0,0.3,4058656,2026-08-15 13:59:02
diffusion,finetune,val,0,0,mid2,gap,1.0,0.65771,0.68225,0.5,0.66667,40,18.0,1.0,4058656,2026-08-15 13:59:03
diffusion,finetune,test,0,0,mid2,gap,1.0,0.66772,0.62614,0.5,0.66667,40,18.0,1.0,4058656,2026-08-15 13:59:03
mae,finetune,val,0,0,bottleneck,gap,1.0,0.85718,0.86282,0.79688,0.81159,40,15.1,1.0,4058656,2026-08-15 13:59:04
mae,finetune,test,0,0,bottleneck,gap,1.0,0.80981,0.81089,0.75,0.77465,40,15.1,1.0,4058656,2026-08-15 13:59:04
diffusion,probe,val,0,100,bottleneck,gap,1.0,0.87769,0.88063,0.79688,0.79365,40,18.0,0.3,4058656,2026-08-15 14:00:54
diffusion,probe,test,0,100,bottleneck,gap,1.0,0.89038,0.90876,0.80469,0.81203,40,18.0,0.3,4058656,2026-08-15 14:00:54
mae,probe,val,0,0,bottleneck,gap,1.0,0.95728,0.95611,0.88281,0.88189,40,15.1,0.3,4058656,2026-08-15 14:00:54
mae,probe,test,0,0,bottleneck,gap,1.0,0.8855,0.87959,0.80469,0.8062,40,15.1,0.3,4058656,2026-08-15 14:00:54
jepa,probe,val,0,0,bottleneck,gap,1.0,0.88452,0.88963,0.8125,0.8,40,10.5,0.3,4058656,2026-08-15 14:00:55
jepa,probe,test,0,0,bottleneck,gap,1.0,0.85327,0.85248,0.8125,0.80328,40,10.5,0.3,4058656,2026-08-15 14:00:55
random,probe,val,0,0,bottleneck,gap,1.0,0.93457,0.93396,0.84375,0.83607,0,0.0,0.3,4058656,2026-08-15 14:00:55
random,probe,test,0,0,bottleneck,gap,1.0,0.89624,0.90386,0.8125,0.80645,0,0.0,0.3,4058656,2026-08-15 14:00:55
supervised-100,finetune,val,0,0,bottleneck,gap,1.0,0.92017,0.93162,0.61719,0.37975,0,0,1.0,4058656,2026-08-15 14:00:56
supervised-100,finetune,test,0,0,bottleneck,gap,1.0,0.90356,0.91496,0.625,0.4,0,0,1.0,4058656,2026-08-15 14:00:56
supervised-10,finetune,val,0,0,bottleneck,gap,0.1,0.75134,0.78176,0.5,0.0,0,0,0.2,4058656,2026-08-15 14:00:56
supervised-10,finetune,test,0,0,bottleneck,gap,0.1,0.70557,0.74236,0.5,0.0,0,0,0.2,4058656,2026-08-15 14:00:56
